Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
150,2025-03-03,9173,CITY,City Hotel Limited,950,961,925,926,19720,18503310.8,953,1168.5,562,2025-03-03T14:59:54.352138,926,362,938.3,15501.24
151,2025-03-03,9174,PRSF,Prabhu Smart Fund,10.3,10.49,10.27,10.49,51675,535689.25,10.45,11.3,8.21,2025-03-03T14:59:44.679749,10.49,24,10.36,1049
152,2025-03-03,9175,MCHL,Menchhiyam Hydropower Limited,630,651,625.3,635,10319,6489023.8,639,714,319,2025-03-03T14:59:45.833776,635,180,628.84,3445.4
153,2025-03-03,9176,IHL,Ingwa Hydropower Limited,770,770.2,741,757,28640,21667002,766,838,341.7,2025-03-03T14:59:59.776838,757,196,756.52,4542
154,2025-03-03,9179,MEL,Modi Energy Limited,360,367.5,350,355.1,109439,38882087.2,361,393,211.1,2025-03-03T14:59:59.006934,355.1,721,355.28,10297.9
155,2025-03-03,9183,NRM,Nepal Republic Media Limited,598.7,645,589.2,590,332013,201290765.5,587,645,338.1,2025-03-03T14:59:59.666499,590,1982,606.27,5708.25
156,2025-03-03,9191,C30MF,Citizens Super 30 Mutual Fund,9,9.52,9,9.52,3300,30752,9.11,10.92,8.11,2025-03-03T14:58:51.947883,9.52,10,9.31,714.69
157,2025-03-03,9196,KBSH,Kutheli Bukhari Small Hydropower Limited,2611.2,2625,2525,2551,1224,3153941.7,2646,3300,942.1,2025-03-03T14:59:58.588866,2551,50,2576.74,3419.73
158,2025-03-03,9198,LVF2,Laxmi Value Fund 2,9.19,9.45,9.19,9.45,14131,133205.31,9.31,10.01,7.5,2025-03-03T14:55:17.490357,9.45,26,9.42,756
159,2025-03-03,9199,RNLI,Reliable Nepal Life Insurance Limited,575,593,575,581,194373,113799557.1,582.9,600.1,412,2025-03-03T14:59:59.007828,581,1396,585.46,26958.4
160,2025-03-03,9203,MEHL,Manakamana Engineering Hydropower Limited,628,639,611.1,620,47776,29649229.4,639,696,283.5,2025-03-03T14:59:59.501851,620,587,620.58,4960
